Boston College: Carroll School of Management,http://www.bc.edu/schools/csom/,"Chestnut Hill, MA"
Columbia University: The Social Enterprise Program,http://www4.gsb.columbia.edu/socialenterprise,"New York, NY"
Duke University: The Center for the Advancement of Social Entrepreneurship (CASE),http://www.fuqua.duke.edu/,"Durham, NC"
Duquesne University: Palumbo Donahue School of Business,http://www.duq.edu/business/graduate.html,"Pittsburgh, PA"
F. W. Olin Graduate School of Business at Babson College,http://www.babson.edu/graduate/Pages/home.aspx,"Babson Park, MA"
Harvard University: The Social Enterprise Initiative,http://www.hbs.edu/socialenterprise/,"Boston, MA"
Johnson at Cornell University: The Center for Sustainable Global Enterprise,http://www.johnson.cornell.edu/Center-for-Sustainable-Global-Enterprise.aspx,"Ithica, NY"
New York University: The Stewart Satter Program in Social Entrepreneurship,http://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers-of-research/berkley-center/index.htm,"New York, NY"
Pepperdine University: Graziadio School of Business and Management,http://bschool.pepperdine.edu/,"Malibu, CA"
Stanford University: Center for Social Innovation,http://www.gsb.stanford.edu/exed/epse/,"Palo Alto, CA"
The George Washington University: The School of Business,http://business.gwu.edu/,"Washington, DC"
UC Berkeley: The Center for Responsible Business,http://www.haas.berkeley.edu/,"Berkeley, CA"
University of Colorado at Boulder: The Deming Center for Entrepreneurship Sustainable Venturing Initiative,http://leeds.colorado.edu/deming,"Boulder, CO"
University of Michigan: Ross School of Business,http://entrepreneurship.umich.edu/,"Ann Arbor, MI"
University of North Carolina: Kenan-Flagler Business School,http://www.kenan-flagler.unc.edu/,"Chapel Hill, NC"
Vanderbilt University: Owen Graduate School of Management,http://www.owen.vanderbilt.edu/vanderbilt/,"Nashville, TN"
Yale University: The School of Management,http://pse.som.yale.edu/,"New Haven, CT"